Phone ID,Brand,Model,Slug,Classification,Evidence,Suggested Action,Confirmed For Deletion
6a6fd5cb09907c5ce669cdcb,Samsung,All about Galaxy,samsung-all-about-galaxy,navigation,Samsung marketing/navigation page,REVIEW_THEN_DELETE,NO
6a6fd42e09907c5ce669c862,Samsung,Compare,samsung-compare,navigation,Samsung compare/navigation page,REVIEW_THEN_DELETE,NO
6a6fd54909907c5ce669cb08,whatmobile,10000 to 20001 Rs Mobiles &#8211; 10000 to 20001 Rs Mobile Phones Prices - WhatMobile,whatmobile-10000-to-20001-rs-mobiles-8211-10000-to-20001-rs-mobile-phones-prices-whatmobile,catalog,WhatMobile catalog/brand/price listing,REVIEW_THEN_DELETE,NO
6a6fd54e09907c5ce669cb46,whatmobile,20000 to 30001 Rs Mobiles &#8211; 20000 to 30001 Rs Mobile Phones Prices - WhatMobile,whatmobile-20000-to-30001-rs-mobiles-8211-20000-to-30001-rs-mobile-phones-prices-whatmobile,catalog,WhatMobile catalog/brand/price listing,REVIEW_THEN_DELETE,NO
6a6fd55509907c5ce669cbae,whatmobile,30000 to 40001 Rs Mobiles &#8211; 30000 to 40001 Rs Mobile Phones Prices - WhatMobile,whatmobile-30000-to-40001-rs-mobiles-8211-30000-to-40001-rs-mobile-phones-prices-whatmobile,catalog,WhatMobile catalog/brand/price listing,REVIEW_THEN_DELETE,NO
6a6fd55d09907c5ce669cc2b,whatmobile,40000 to 50001 Rs Mobiles &#8211; 40000 to 50001 Rs Mobile Phones Prices - WhatMobile,whatmobile-40000-to-50001-rs-mobiles-8211-40000-to-50001-rs-mobile-phones-prices-whatmobile,catalog,WhatMobile catalog/brand/price listing,REVIEW_THEN_DELETE,NO
6a6fd44009907c5ce669c98f,whatmobile,4G Mobiles &#8211; 4G Mobile Phones Prices - WhatMobile,whatmobile-4g-mobiles-8211-4g-mobile-phones-prices-whatmobile,catalog,WhatMobile catalog/brand/price listing,REVIEW_THEN_DELETE,NO
6a6fd58209907c5ce669ccbe,whatmobile,50000 to 350001 Rs Mobiles &#8211; 50000 to 350001 Rs Mobile Phones Prices - WhatMobile,whatmobile-50000-to-350001-rs-mobiles-8211-50000-to-350001-rs-mobile-phones-prices-whatmobile,catalog,WhatMobile catalog/brand/price listing,REVIEW_THEN_DELETE,NO
6a6fd43e09907c5ce669c97b,whatmobile,5G Mobiles &#8211; 5G Mobile Phones Prices - WhatMobile,whatmobile-5g-mobiles-8211-5g-mobile-phones-prices-whatmobile,catalog,WhatMobile catalog/brand/price listing,REVIEW_THEN_DELETE,NO
6a6fd43509907c5ce669c8db,whatmobile,Apple Mobiles &#8211; Apple Mobile Phones Prices - WhatMobile,whatmobile-apple-mobiles-8211-apple-mobile-phones-prices-whatmobile,catalog,WhatMobile catalog/brand/price listing,REVIEW_THEN_DELETE,NO
